date,location,plant_id,height_cm,short_stems,ft_stems,vigor,notes,inflorescences,fruits,avg_height,avg_width,zone,maternal_accession,lineage
4/20/20,Plover Area,519,,,,1,,,,,,Slope,A3041,6
4/20/20,Plover Area,520,,,,1,,,,,,Slope,A3041,6
4/20/20,Plover Area,521,,,,1,,,,,,Slope,A3041,6
4/20/20,Plover Area,601,,,,1,,,,,,Slope,B29R,9
4/20/20,Plover Area,602,,,,1,,,,,,Slope,A3041,6
4/20/20,Plover Area,603,,,,1,,,,,,Slope,B227,5
4/20/20,Plover Area,604,,,,4,buried,,,,,Slope,A3002,10
4/20/20,Plover Area,605,,,,4,Buried,,,,,Slope,A3003,16
4/20/20,Plover Area,606,,,,1,,,,,,Slope,A3051,11
4/20/20,Plover Area,607,,,,4,Buried,,,,,Swale,A3051,7
4/20/20,Plover Area,608,,,,4,Buried,,,,,Slope,A3003,16
4/20/20,Plover Area,609,,,,1,,,,,,Slope,B4001,1
4/20/20,Plover Area,610,,,,4,,,,,,Slope,B29R,18
4/20/20,Plover Area,611,,,,1,,,,,,Slope,B227,5
4/20/20,Plover Area,612,,,,1,,,,,,Ridge,B4001,15
4/20/20,Plover Area,613,,,,2,,,,,,Slope,A3015,3
4/20/20,Plover Area,614,,,,1,,,,,,Slope,B4001,15
4/20/20,Plover Area,615,,,,1,,,,,,Ridge,B227,17
4/20/20,Plover Area,616,,,,1,,,,,,Slope,A2051,2
4/20/20,Plover Area,617,,,,2,,,,,,Swale,A3041,6
4/20/20,Plover Area,618,,,,1,,,,,,Slope,B227,17
4/20/20,Plover Area,619,,,,4,,,,,,Swale,,
4/20/20,Plover Area,620,,,,1,,,,,,Slope,,
4/20/20,Plover Area,621,,,,1,,,,,,Slope,A3051,11
4/20/20,Plover Area,622,,,,2,,,,,,Slope,A2051,13
4/20/20,Plover Area,623,,,,1,,,,,,Slope,A2051,13
4/20/20,Plover Area,624,,,,4,,,,,,Swale,B227,17
4/20/20,Plover Area,625,,,,2,,,,,,Slope,A2051,13
4/20/20,Plover Area,626,,,,2,,,,,,Slope,A2051,13
4/20/20,Plover Area,701,,,,1,,,,,,Ridge,B29R,18
4/20/20,Plover Area,702,,,,1,,,,,,Slope,B227,17
4/20/20,Plover Area,703,,,,1,,,,,,Slope,A3051,7
4/20/20,Plover Area,704,,,,1,,,,,,Slope,B227,17
4/20/20,Plover Area,705,,,,1,,,,,,Slope,B29R,18
4/20/20,Plover Area,706,,,,1,,,,,,Slope,A3051,7
4/20/20,Plover Area,707,,,,1,,,,,,Slope,B29R,9
4/20/20,Plover Area,708,,,,1,,,,,,Slope,A2051,2
4/20/20,Plover Area,709,,,,4,,,,,,Slope,B29R,9
4/20/20,Plover Area,710,,,,1,,,,,,Ridge,A3002,10
4/20/20,Plover Area,711,,,,2,,,,,,Slope,A3003,8
4/20/20,Plover Area,712,,,,1,,,,,,Slope,A3003,16
4/20/20,Plover Area,713,,,,4,,,,,,Swale,A3051,11
4/20/20,Plover Area,714,,,,2,,,,,,Slope,A2051,2
4/20/20,Plover Area,715,,,,1,,,,,,Slope,A3041,6
4/20/20,Plover Area,716,,,,1,,,,,,Slope,B29R,18
4/20/20,Plover Area,717,,,,4,,,,,,Swale,A3002,10
4/20/20,Plover Area,718,,,,4,,,,,,Swale,A3002,10
4/20/20,Plover Area,719,,,,1,,,,,,Slope,A3003,16
4/20/20,Plover Area,720,,,,1,,,,,,Slope,A2051,13
4/20/20,Plover Area,721,,,,4,,,,,,Slope,A3002,10
4/20/20,Plover Area,722,,,,2,,,,,,Slope,A3051,11
4/20/20,Plover Area,723,,,,1,,,,,,Slope,A3041,12
4/20/20,Plover Area,724,,,,4,,,,,,Swale,A3002,10
4/20/20,Plover Area,725,,,,4,,,,,,Swale,A3003,8
4/20/20,Plover Area,726,,,,2,,,,,,Slope,A3015,14
4/20/20,Plover Area,727,,,,4,,,,,,Slope,B4001,15
4/20/20,Plover Area,728,,,,4,,,,,,Slope,A2051,13
4/20/20,Plover Area,801,,,,2,,,,,,Swale,A3003,8
4/20/20,Plover Area,802,,,,1,,,,,,Slope,B29R,9
4/20/20,Plover Area,803,,,,1,,,,,,Slope,B29R,9
4/20/20,Plover Area,804,,,,1,,,,,,Slope,B29R,9
4/20/20,Plover Area,805,,,,1,,,,,,Slope,A3003,8
4/20/20,Plover Area,806,,,,1,,,,,,Slope,B227,5
4/20/20,Plover Area,807,,,,1,,,,,,Ridge,A3003,8
4/20/20,Plover Area,808,,,,1,,,,,,Slope,A3003,8
4/20/20,Plover Area,809,,,,1,,,,,,Ridge,B29R,9
4/20/20,Plover Area,810,,,,1,,,,,,Ridge,A3051,7
4/20/20,Plover Area,811,,,,1,,,,,,Slope,A3051,7
4/20/20,Plover Area,812,,,,1,,,,,,Ridge,B29R,9
4/20/20,Plover Area,813,,,,1,,,,,,Slope,B29R,9
4/20/20,Plover Area,814,,,,1,,,,,,Slope,A3002,10
4/20/20,Plover Area,815,,,,1,,,,,,Slope,B29R,9
4/20/20,Plover Area,816,,,,1,,,,,,Ridge,A3051,7
4/20/20,Plover Area,817,,,,1,,,,,,Slope,A3003,8
4/20/20,Plover Area,818,,,,1,,,,,,Slope,B29R,9
4/20/20,Plover Area,819,,,,1,,,,,,Slope,A3003,8
4/20/20,Plover Area,820,,,,1,,,,,,Slope,A3003,8
4/20/20,Plover Area,821,,,,2,,,,,,Swale,B29R,9
4/20/20,Plover Area,822,,,,4,,,,,,Swale,B29R,9
4/20/20,Plover Area,901,,,,1,,,,,,Slope,A3002,10
4/20/20,Plover Area,902,,,,1,,,,,,Slope,B29R,9
4/20/20,Plover Area,903,,,,1,,,,,,Slope,A3003,8
4/20/20,Plover Area,904,,,,1,,,,,,Swale,A3003,8
4/20/20,Plover Area,905,,,,4,,,,,,Slope,A3041,12
4/20/20,Plover Area,906,,,,1,,,,,,Swale,A3051,11
4/20/20,Plover Area,907,,,,4,,,,,,Swale,A3041,12
4/20/20,Plover Area,908,,,,2,,,,,,Swale,A3041,12
4/20/20,Plover Area,909,,,,1,,,,,,Slope,A3041,12
4/20/20,Plover Area,910,,,,1,,,,,,Slope,A3051,11
4/20/20,Plover Area,911,,,,2,,,,,,Slope,A3051,11
4/20/20,Plover Area,912,,,,2,,,,,,Swale,A3041,12
4/20/20,Plover Area,913,,,,1,,,,,,Slope,A3051,11
4/20/20,Plover Area,914,,,,1,,,,,,Slope,A3041,12
