Sample ID,Maternal Line,Salinity ,Rhizobia (+/-),Germinated before planting,Germination Date,Date of planting,Soil Type,Soil autoclave,"Germinated 
after planting",N added,"Yellow leaves 
4/9/20","Yellow/dead leaves 
4/13/20","Yellow/dead leaves
4/16/20","Yellow/dead leaves
4/20/20","Yellow/dead leaves
4/22/20","Yellow leaves 
(didn't water)
5/4/20","Yellow leaves
5/6/20",Date,Category,"Total # of
leaves","Healthy leaves 
(# leaf - # leaf)",# weeds,"Small plants: 
notes","4th leaf:
state","4th leaf -
length (cm)","4th leaf:
# of leaflets","5th leaf:
state","5th leaf:
length (cm)","5th leaf:
# of leaflets","6th leaf:
state","6th leaf:
length (cm)","6th leaf:
# of leaflets","7th leaf:
state","7th leaf:
length (cm)","7th leaf:
# of leaflets","8th leaf:
state","8th leaf:
length (cm)","8th leaf:
# of leaflets","9th leaf:
state","9th leaf:
length (cm)","9th leaf:
# of leaflets",,,
79,A2,1,R,Y,2/12/20,2/8/20,EEM,-,,4/22/20,1/3,2/6 dead,"1/6 yellow, 3/6 dead",,3/7 dead,,,5/29/20,big plant,8,6-8,0,,dead,na,na,dead,na,na,yellow-green,5.2,29,green,4.2,30,,,,,,,,,
80,A2,1,R,Y,2/12/20,2/8/20,EEM,-,,4/22/20,1/5,2/6 dead,"1/6 yellow, 2/6 dead",3/6 dead,"1/7 yellow, 3/7 dead",,,5/29/20,big plant,9,7-9,0,,dead,na,na,dead,na,na,dead,na,na,green,7.6,26,green,6.5,29,,,,,,
81,B,0,-,Y,2/22/20,2/19/20,potting soil,-,,5/8/20,,,,,,,,5/29/20,small plant,5,1-5,0,,,,,,,,,,,,,,,,,,,,,,
82,A3,0,R,Y,2/23/20,2/19/20,potting soil,-,,5/8/20,,,,,,,,5/29/20,small plant,6,6,0,,,,,,,,,,,,,,,,,,,,,,
83,B,50,R,N,did not germinate,2/19/20,potting soil,-,Yes,5/8/20,,,,,,,,5/29/20,small plant,4,1-4,0,,,,,,,,,,,,,,,,,,,,,,
84,B,50,-,Y,2/22/20,2/19/20,potting soil,-,,5/8/20,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
85,A3,50,-,Y,2/10/20,2/8/20,potting soil,-,,4/22/20,,,,,1/5 yellow,,,5/29/20,big plant,7,6-7,0,,dead,na,na,dead,na,na,green,6.4,29,,,,,,,,,,,,
86,A3,0,-,Y,2/10/20,2/8/20,potting soil,-,,4/22/20,1/6,1/6 dead,"1/6 yellow, 1/6 dead","1/7 yellow, 1/7 dead",2/7 dead,,,5/29/20,big plant,9,7-9,0,,dead,na,na,dead,na,na,dead,na,na,green,6.1,30,green,6.1,31,,,,,,
87,B,0,-,Y,2/23/20,2/19/20,plover,-,,5/8/20,,1/3 yellow,,,,,,5/29/20,small plant,5,3-5,0,,,,,,,,,,,,,,,,,,,,,,
88,A3,0,R,Y,2/22/20,2/19/20,plover,-,,5/8/20,,,,,,,,5/29/20,small plant,2,1-2,0,,,,,,,,,,,,,,,,,,,,,,
89,B,50,R,Y,2/22/20,2/19/20,plover,-,,5/8/20,,,,,,,,5/29/20,small plant,2,1-2,0,,,,,,,,,,,,,,,,,,,,,,
90,B,50,-,Y,2/25/20,2/19/20,plover,-,,4/22/20,,2/3 yellow,2/3 yellow,1/2 yellow,1/3 yellow,,,5/29/20,small plant,3,1-3,0,1 yellow leaf,,,,,,,,,,,,,,,,,,,,,
91,A3,0,-,Y,2/12/20,2/8/20,plover,-,,5/8/20,,,2/6 yellow,,,,,5/29/20,big plant,7,4-7,0,,"gray-green, curled",5,13,"gray-green, curled",3.5,17,gray-green,4,23,gray-green,,,,,,,,,,,
92,B,10,R,Y,2/10/20,2/8/20,plover,-,,4/22/20,2/3,1/3 yellow,1/3 yellow,1/3 yellow,1/3 yellow,,,5/29/20,small plant,5,1-5,0,,,,,,,,,,,,,,,,,,,,,,
93,A2,50,R,Y,2/25/20,2/19/20,iris,-,,5/8/20,,,,,,,,5/29/20,small plant,3,1-3,0,,,,,,,,,,,,,,,,,,,,,,
94,B,0,-,Y,2/22/20,2/19/20,iris,-,,5/8/20,,,,,,1 yellow,,5/29/20,big plant,7,4-7,0,,"green, wilting",7.3,13,"green, brown tip",7.9,19,green,6.4,26,,,,,,,,,,,,
95,A3,0,R,Y,2/23/20,2/19/20,iris,-,,5/8/20,,,,,,,,5/29/20,big plant,7,4-7,1,,green,6.5,14,green,6.4,17,green,5.9,23,,,,,,,,,,,,
96,B,50,R,Y,2/22/20,2/19/20,iris,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,1,,,,,,,,,,,,,,,,,,,,,,
97,B,50,R,Y,2/10/20,2/8/20,iris,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
98,B,10,R,Y,2/12/20,2/8/20,iris,-,,5/8/20,,,,,,,,5/29/20,small plant,6,4-6,0,,,,,,,,,,,,,,,,,,,,,,
